prog;rep;germ
1;1;9
1;2;9
1;3;5
1;4;3
2;1;7
2;2;5
2;3;6
2;4;5
3;1;2
3;2;2
3;3;0
3;4;1
4;1;0
4;2;1
4;3;0
4;4;0
5;1;0
5;2;1
5;3;0
5;4;0
6;1;10
6;2;5
6;3;7
6;4;0
7;1;3
7;2;2
7;3;3
7;4;3
8;1;4
8;2;3
8;3;3
8;4;0
9;1;4
9;2;6
9;3;9
9;4;7
10;1;1
10;2;1
10;3;1
10;4;1
11;1;3
11;2;11
11;3;4
11;4;6
12;1;12
12;2;3
12;3;9
12;4;8
13;1;2
13;2;0
13;3;1
13;4;0
14;1;0
14;2;0
14;3;0
14;4;0
15;1;0
15;2;0
15;3;0
15;4;0
16;1;0
16;2;1
16;3;0
16;4;0
17;1;1
17;2;0
17;3;6
17;4;0
18;1;0
18;2;0
18;3;2
18;4;1
19;1;0
19;2;0
19;3;0
19;4;0
20;1;8
20;2;8
20;3;5
20;4;3
21;1;12
21;2;0
21;3;11
21;4;0
22;1;12
22;2;18
22;3;12
22;4;3
23;1;2
23;2;0
23;3;0
23;4;0
24;1;2
24;2;0
24;3;0
24;4;0
25;1;11
25;2;15
25;3;14
25;4;11
26;1;5
26;2;0
26;3;2
26;4;0
27;1;2
27;2;1
27;3;4
27;4;1
28;1;0
28;2;0
28;3;0
28;4;0
29;1;3
29;2;0
29;3;2
29;4;3
30;1;15
30;2;7
30;3;9
30;4;0
31;1;0
31;2;0
31;3;0
31;4;0
32;1;0
32;2;0
32;3;0
32;4;0
33;1;2
33;2;1
33;3;0
33;4;2
34;1;6
34;2;0
34;3;2
34;4;2
35;1;8
35;2;6
35;3;6
35;4;4
36;1;6
36;2;5
36;3;6
36;4;0
37;1;5
37;2;4
37;3;3
37;4;3
38;1;1
38;2;3
38;3;0
38;4;0
39;1;11
39;2;5
39;3;9
39;4;1
40;1;8
40;2;3
40;3;6
40;4;3
41;1;0
41;2;0
41;3;0
41;4;0
42;1;13
42;2;2
42;3;1
42;4;0
43;1;6
43;2;0
43;3;2
43;4;0
44;1;0
44;2;0
44;3;0
44;4;0
45;1;11
45;2;4
45;3;9
45;4;5
